,sid,filename,begin,end,transcript,description,caption,chars_query,selected_character,chars_all
19749,185-274,5555360238519252381.xml,762.06,762.21,,,a woman is smiling and making faces,,,
19750,185-275,5555360238519252381.xml,762.22,764.05,"Oh, my God! That is Phil's. ",,a woman is talking to a man and he looks away,Janine,,
19751,185-276,5555360238519252381.xml,764.06,765.19,That is Phil Mitchell's. ,,a woman with long hair is smiling and talking,,,
19752,185-277,5555360238519252381.xml,765.2,768.12,,,a woman with long hair is looking at something,Janine,,Julie
19753,185-278,5555360238519252381.xml,768.13,769.21,,,a man is walking through a door and is <unk> by another man,,,
19754,185-279,5555360238519252381.xml,769.22,770.21,,,a man is walking through a door and is <unk> by another man,,,
19755,185-280,5555360238519252381.xml,770.22,776.04,"What, and you didn't think  I should know?",,a man and a woman are kissing in a hallway,Stacey Ryan,,
19756,185-281,5555360238519252381.xml,776.05,777.18,"It was just Janine being Janine,  shooting her mouth off.",,a woman is looking at a man and then he looks away,,,
19757,185-282,5555360238519252381.xml,777.19,801.23,"Who's interested in that?  If there's the slightest chance  Stacey did it, I want to know. What good is that going to do?  Look, we should call the police  or something. No! Why? Because we don't know anything.  We don't know for sure. So I'm going to go  and see Janine then. You are wasting your time. She's  going to say that Stacey did it. Have you got any better ideas? Come on, drink to be drunk. ",,a woman is looking at a man and smiling,Janine Stacey Ryan,,
19758,185-283,5555360238519252381.xml,801.24,803.14,Maybe. ,,a woman is sitting on a bed and smiling,,,
19759,185-284,5555360238519252381.xml,803.15,805.05,,KNOCK AT DOOR ,a woman is dancing in front of a mirror,,,
19760,185-285,5555360238519252381.xml,805.06,810.08,"We're going down the Vic.  You coming? I don't think I will.  She's tired, I've just put her down.",,a woman is looking at a man and smiling,Stacey Ryan,Stacey,
19761,185-286,5555360238519252381.xml,810.09,811.15,,,a woman is standing in a room with a vase,,,
19762,185-287,5555360238519252381.xml,811.16,813.07,She doesn't look tired to me.  It's a pub.,,a cat is hiding under a blanket and then falls off,,,
19763,185-288,5555360238519252381.xml,813.08,817.04,There's going to be noise  and all sorts going on. I'd rather keep her here.,,a woman is looking at something and smiling,,,
19764,185-289,5555360238519252381.xml,817.05,820.07,"Who are you avoiding, Stacey? ",,a woman is looking at a man and smiling,,,
19765,185-290,5555360238519252381.xml,820.08,826.08,No-one.  You are. You haven't looked me in the eye  since last night.,,a woman is looking at something and smiling,,,
19766,185-291,5555360238519252381.xml,826.09,829.03,"You scurried back here, up to your  room, locked the door, haven't touched a bit of your dinner today.",,a woman is looking at something and then looks away,,,
19767,185-292,5555360238519252381.xml,829.04,830.12,,,a woman is looking at something and smiling,,,
19768,185-293,5555360238519252381.xml,830.13,832.13,,,a woman with long hair is smiling and talking,Stacey,,
19769,185-294,5555360238519252381.xml,832.14,840.05,"Yeah, well, I'm sorry, Mum,  but I don't feel very well. Why? Is it because of what Janine said? ",,a woman is looking at something and smiling,,,
19770,185-295,5555360238519252381.xml,840.06,844.06,"Well, how would you like it?  How would you like someone  making accusations? How would you like it, Mum?",,a woman with long hair is smiling and talking,Stacey,Stacey,
19771,185-296,5555360238519252381.xml,844.07,845.13,,,a woman is looking at something and smiling,,,
19772,185-297,5555360238519252381.xml,845.14,848.15,"Well, are they true?  I can't believe you're asking  me that, I really can't.",,a woman with long hair is smiling and talking,Stacey,Stacey,
19773,185-298,5555360238519252381.xml,848.16,850.02,I'm your daughter!  Is it true?,,a woman is looking at something and smiling,,,
19774,185-299,5555360238519252381.xml,850.03,853.02,"No. No, it ain't true. ",,a woman with long hair is smiling and talking,Stacey,Stacey,
19775,185-300,5555360238519252381.xml,853.03,853.11,,,a woman is singing and dancing in a room,,,
19776,185-301,5555360238519252381.xml,853.12,854.18,,,a woman is looking at something and then looks down,,,
19777,185-302,5555360238519252381.xml,854.19,859.02,"Well, then... ",,a woman is looking at her phone and smiling,Ryan,,
19778,185-303,5555360238519252381.xml,859.03,859.11,,,a woman is kissing a man s neck,,,
19779,185-304,5555360238519252381.xml,859.12,861.05,How come I don't believe you? ,,a woman is looking at something and then looks away,Ryan,,
19780,185-305,5555360238519252381.xml,861.06,862.0,"I don't know, Mum.  That's your problem.",,a woman is looking at a man and then he looks away,,,
19781,185-306,5555360238519252381.xml,862.01,862.07,,,a woman is looking at a man and then he looks away,,,
19782,185-307,5555360238519252381.xml,862.08,865.24,"Well, where is Ryan? ",,a woman is smiling and laughing at something,,,
19783,185-308,5555360238519252381.xml,866.0,868.09,"One minute you're all lovey-dovey,  and the next he's not here.",,a woman is smiling and making faces,Stacey,Stacey,
19784,185-309,5555360238519252381.xml,868.1,869.17,"He's got stuff on. He's got family  stuff. You're lying. No, I'm not.",,a man is talking to a woman and she is smiling,,,
19785,185-310,5555360238519252381.xml,869.18,871.09,,,a woman is smiling and making faces,Stacey,Stacey,
19786,185-311,5555360238519252381.xml,871.1,872.23,,,a woman is looking at something and smiling,,,
19787,185-312,5555360238519252381.xml,872.24,874.14,You're lying to me.  I'm not.,,a woman is smiling and making faces,Stacey,,
19788,185-313,5555360238519252381.xml,874.15,876.11,You are. I can tell.  Do you think I'm totally stupid?,,a man is talking to a woman and she is smiling,,,
19789,185-314,5555360238519252381.xml,876.12,882.07,"Will you just go? Will you get out?  Go to the pub - you'll upset Lily. Go to the pub, have your drink  and leave me alone!",,a woman is looking at something and smiling,Stacey,Stacey,
19790,185-315,5555360238519252381.xml,882.08,883.2,,,a woman is talking to a man and he is smiling,,,
19791,185-316,5555360238519252381.xml,883.21,886.15,You didn't kill Archie? ,,a woman with long hair is smiling and talking,Stacey,Stacey,Stacey
19792,185-317,5555360238519252381.xml,886.16,888.19,"Janine was making it all up,  is that what you're saying?",,a man is talking to a woman and she is smiling,,,
19793,185-318,5555360238519252381.xml,888.2,892.01,Yeah. ,,a woman is looking at something and smiling,Stacey,Stacey,Stacey
19794,185-319,5555360238519252381.xml,892.02,895.23,It was Bradley? ,,a woman is looking at something and smiling,,,
19795,185-320,5555360238519252381.xml,895.24,897.21,"It was Bradley that did it?  I don't want to talk about it, Mum. Stacey, just tell me. Who?",,a woman is looking at a man and smiling,Stacey,,
19796,185-321,5555360238519252381.xml,897.22,900.18,,,a woman is dancing in front of a mirror,,,
19797,185-322,5555360238519252381.xml,900.19,902.17,,,a woman is looking at a man and smiling,,,
19798,185-323,5555360238519252381.xml,902.18,904.05,Bradley or you? ,,a man is talking to a woman and she is smiling,,,
19799,185-324,5555360238519252381.xml,904.06,906.07,"I just told you, I don't want to  talk about it! Who? Who?!",,a woman is kissing a man on the cheek,,,
19800,185-325,5555360238519252381.xml,906.08,910.03,"Who was it, Stacey? Just tell me! ",,a man is talking to a woman and she is smiling,,,
19801,185-326,5555360238519252381.xml,910.04,915.03,,,a woman is sitting on a bed and talking,,,
19802,185-327,5555360238519252381.xml,915.04,929.09,"Look me in the eye and tell me.  Was it Bradley, or was it you? It was me, Mum. ",,a woman is looking at a man and smiling,Stacey,,
19803,185-328,5555360238519252381.xml,929.1,930.18,,DOORBELL RINGS ,a door opened to a bathroom with a shower curtain,,,
19804,185-329,5555360238519252381.xml,930.19,931.17,,,a woman is walking down a hallway,,,
19805,185-330,5555360238519252381.xml,931.18,934.03,,,a man is looking at something and then looks away,Ryan,Ryan,Ryan
19806,185-331,5555360238519252381.xml,934.04,935.23,,,a man is looking at something and then looks away,Ryan,Ryan,Ryan
19807,185-332,5555360238519252381.xml,935.24,939.18,,,a man and a woman are kissing in a hallway,Janine,Janine,
19808,185-333,5555360238519252381.xml,939.19,944.14,,,a man is talking to a woman and she is smiling,Janine Ryan,Janine Ryan,Janine Ryan
19809,185-334,5555360238519252381.xml,944.15,945.07,,,a man is looking at a woman and she is talking,,,
19810,185-335,5555360238519252381.xml,945.08,946.12,,,a man is singing and dancing in a room,,,
19811,185-336,5555360238519252381.xml,946.13,957.07,"All this time, the lying.  The lying to me, fooling me.  Lying to everyone, letting everyone  think that it's poor Bradley.",,a man is talking and smiling while looking down,,,
19812,185-337,5555360238519252381.xml,957.08,971.05,"You think I liked it?  Do you think I'm happy, Mum?  It's tearing me apart.  I have not had a good night's sleep since Bradley died. I can't even enjoy my baby.  I can't even be a proper mum  to Lily. Oh, you poor thing(!)",,a woman is looking at a man and smiling,Stacey,Stacey,
19813,185-338,5555360238519252381.xml,971.06,979.11,"Well, I can see that.  And d'you know what? I feel so disappointed in you. ",,a man with a red shirt is smiling and talking,,,
19814,185-339,5555360238519252381.xml,979.12,985.02,And so ashamed!  What are you going to do? ,,a woman is looking at something and smiling,Stacey,,
19815,185-340,5555360238519252381.xml,985.03,991.18,"What am I going to do?  I'm not going to do anything, am I?  Because I'm just a  silly woman, aren't I?",,a man with a red shirt is smiling and talking,Ryan,,Jean
19816,185-341,5555360238519252381.xml,991.19,998.03,"A silly mad woman with a killer for  a daughter. I mean, what can I do? I'm sorry, Mum. ",,a woman is looking at something and smiling,Stacey,,
19817,185-342,5555360238519252381.xml,998.04,1010.13,"First this business with Ryan.  The cheating,  the lying.  And now this? ",,a man with a red shirt is smiling and talking,,,
19818,185-343,5555360238519252381.xml,1010.14,1022.18,"YOU are capable of this?  I don't really  recognise you any more. Don't say that, Mum.  Please, don't say that.",,a woman is looking at a man and smiling,Stacey,Stacey,
19819,185-344,5555360238519252381.xml,1022.19,1025.02,,,a woman is talking to a man and he is smiling,,,
19820,185-345,5555360238519252381.xml,1025.03,1029.12,No!  You know who I feel sorry for? ,,a woman is talking to a man and he is smiling,Stacey,Stacey,
19821,185-346,5555360238519252381.xml,1029.13,1040.0,"It's not him and it's not Janine,  it's Lily. Take a look at Lily. Look at her.  Look at her! ",,a woman is talking to a man and he is smiling,Stacey,,
19822,185-347,5555360238519252381.xml,1040.01,1045.06,"Hello. What is going to  become of her, Stacey,",,a baby is sleeping on a bed with a stuffed animal,,,
19823,185-348,5555360238519252381.xml,1045.07,1053.0,with a mother like you? Hm?  MO SHOUTS: Oi! You ready or what? ,,a woman with long hair is smiling and talking,,,
19824,185-349,5555360238519252381.xml,1053.01,1065.01,"We're going over the Vic.  I'm going to the pub. And I'm taking Lily with me.  Mum, I just said, she's  tired, she's staying here!",,a woman is dancing in a room,,,
19825,185-350,5555360238519252381.xml,1065.02,1065.09,,,a woman with long hair is smiling and talking,,,
19826,185-351,5555360238519252381.xml,1065.1,1067.15,"No. She's coming with me.  Mum, I just said no! What are you doing?",,a woman is looking at something and smiling,,,
19827,185-352,5555360238519252381.xml,1067.16,1069.05,,,a woman is looking at something and smiling,,,
19828,185-353,5555360238519252381.xml,1069.06,1076.02,I don't feel right!  It doesn't feel safe  leaving her with you.,,a man is looking at something and then looks away,,,
19829,185-354,5555360238519252381.xml,1076.03,1081.07,"I'm so sorry, Stacey,  but just for now, Lily's better off with her nana.  Mum, please... I'll see you later.",,a woman is looking at something and smiling,Stacey,,
19830,185-355,5555360238519252381.xml,1081.08,1083.11,,,a woman is looking at something and then looks away,,,
19831,185-356,5555360238519252381.xml,1083.12,1090.12,"Mum, please!  I'll see you later. No, Mum, please! Mum! ",,a woman is looking at something and smiling,Stacey,,
19832,185-357,5555360238519252381.xml,1090.13,1093.1,So where is it? ,,a man is talking to a woman and she smiles,Ryan,Ryan,Ryan
19833,185-358,5555360238519252381.xml,1093.11,1095.12,,,a man and a woman are kissing in a room,Janine,Janine,
19834,185-359,5555360238519252381.xml,1095.13,1097.15,,,a woman is talking to a man and he is smiling,Ryan,Ryan,Ryan
19835,185-360,5555360238519252381.xml,1097.16,1101.13,"I know, I know what you're thinking.  It's the truth - why don't you just  call him? Go on, ask him, call him.",,a man and a woman are kissing in a room,Janine,Janine,
19836,185-361,5555360238519252381.xml,1101.14,1104.09,"Yeah, right. Christmas Day,  go round and ask him if he's been covering up a murder.",,a man is talking to a woman and she is smiling,Ryan,Ryan,Ryan
19837,185-362,5555360238519252381.xml,1104.1,1107.15,"He's bound to say yes to that,  isn't he, Janine?",,a man is talking to a woman and she is smiling,Ryan,Ryan,Ryan
19838,185-363,5555360238519252381.xml,1107.16,1108.08,,,a man is looking at something and then looks away,Ryan,Ryan,Ryan
19839,185-364,5555360238519252381.xml,1108.09,1109.03,,,a woman is dancing in a room,Stacey,,
19840,185-365,5555360238519252381.xml,1109.04,1111.05,,,a woman with long hair is talking and smiling,Janine,Janine,
19841,185-366,5555360238519252381.xml,1111.06,1149.02,"Look, I know that I've  done some really bad things... All right?  But I was just... I was scared. I was scared that I was losing you,  and I'm sorry, I'm really sorry. I love you.  She is the mother of your kid.  I understand that.  But this time tomorrow,  she'll be banged up. And when she goes down,  then me and you could have Lily.  Stacey...  She's twisted your mind, Ryan. ",,a man and a woman are talking to each other,Janine Ryan,Janine Ryan,Ryan
19842,185-367,5555360238519252381.xml,1149.03,1159.07,She's got inside your head.  You don't love her.  I know you don't.  You love me. ,,a woman is looking at a man and smiling,Janine,Janine,
19843,185-368,5555360238519252381.xml,1159.08,1169.04,"No, I don't, Janine.  I don't love you.  Not one bit. ",,a man and a woman are kissing each other,Ryan,Ryan,Ryan
19844,185-369,5555360238519252381.xml,1169.05,1170.0,,,a woman is talking to a man and he is smiling,Janine,,
19845,185-370,5555360238519252381.xml,1170.01,1173.04,,,a woman is talking to a man and he is smiling,Janine,Janine,
19846,185-371,5555360238519252381.xml,1173.05,1178.08,"I will deal with it, OK? Just  go to the Vic and wait for me there. No, I'm coming with you.",,a man is walking down a hallway and then he stops and looks at another man,,,
19847,185-372,5555360238519252381.xml,1178.09,1180.11,"You are not coming with me,  you're going to go off on one.",,a woman with long hair is smiling and talking,Janine,,
19848,185-373,5555360238519252381.xml,1180.12,1182.11,"Just leave it to me. Trust me. I  will get the truth, I promise you.",,a woman is talking to a man and he looks away,Janine,,
19849,185-374,5555360238519252381.xml,1182.12,1183.24,,,a woman with long hair is smiling and talking,Janine,,
19850,185-375,5555360238519252381.xml,1184.0,1186.1,"She's a murderer. She killed a man in  cold blood, and then she let her own husband take the blame for it.",,a woman is looking at a man and then he looks away,Janine,,
19851,185-376,5555360238519252381.xml,1186.11,1186.23,,,a woman is looking at a man and smiling,,,
19852,185-377,5555360238519252381.xml,1186.24,1189.02,,,a man is holding a woman s face and kissing her,,,
19853,185-378,5555360238519252381.xml,1189.03,1189.23,,,a man and a woman are kissing in a room,,,
19854,185-379,5555360238519252381.xml,1189.24,1190.14,,,a man is looking at something and then looks away,Ryan,,
19855,185-380,5555360238519252381.xml,1190.15,1192.14,Is that what you want? Is it? ,,a man is dancing in a room with a lot of people,,,
19856,185-381,5555360238519252381.xml,1192.15,1194.21,,,a woman is kissing a man on the cheek,,,
19857,185-382,5555360238519252381.xml,1194.22,1196.02,"Is it, Ryan? Please! ",,a man is dancing in a room with a woman,,,
19858,185-383,5555360238519252381.xml,1196.03,1198.17,"Look, she's not right up here. ",,a woman is kissing a man on the cheek,,,
19859,185-384,5555360238519252381.xml,1198.18,1201.07,She can't make you happy. ,,a man is dancing in a room with a lot of people,,,
19860,185-385,5555360238519252381.xml,1201.08,1202.24,"Come on, please. What are you doing? ",,a man and a woman are kissing in a room,Janine,Janine,
19861,185-386,5555360238519252381.xml,1203.0,1204.12,,,a man is kissing a woman on the cheek,,,
19862,185-387,5555360238519252381.xml,1204.13,1206.02,"Ryan, don't be stupid.  Please, don't do this to me.",,a woman is looking at a man and smiling,,,
19863,185-388,5555360238519252381.xml,1206.03,1207.05,,,a man is walking through a door and is <unk> by another man,,,
19864,185-389,5555360238519252381.xml,1207.06,1210.11,Please. I won't let you go. Please. ,,a man is walking through a door and then falls,,,
19865,185-390,5555360238519252381.xml,1210.12,1214.05,"SOBBING: Ryan, Ryan,  please don't do this.",,a man and woman are kissing in a hallway,,,
19866,185-391,5555360238519252381.xml,1214.06,1215.15,I won't let you leave me. ,,a man is walking down a hallway and looks down,Ryan,Ryan,
19867,185-392,5555360238519252381.xml,1215.16,1216.15,,,a woman is looking at a man and then he looks away,,,
19868,185-393,5555360238519252381.xml,1216.16,1218.03,Please. Please. ,,a man is talking to a woman and she is smiling,,,
19869,185-394,5555360238519252381.xml,1218.04,1225.0,,,a woman with long hair is smiling and talking,Janine,Janine,
19870,185-395,5555360238519252381.xml,1225.01,1226.2,,,a group of people sitting around a table with food,Ryan,Ryan,
19871,185-396,5555360238519252381.xml,1226.21,1227.17,"Well, that was amazing. Thank you. ",,a woman is talking to a man and he is smiling,,,
19872,185-397,5555360238519252381.xml,1227.18,1229.08,,,a woman is drinking wine from a glass,Ryan,,
19873,185-398,5555360238519252381.xml,1229.09,1230.15,I don't think I've ever  had six courses before.,,a woman is dancing and singing in a room,,,
19874,185-399,5555360238519252381.xml,1230.16,1232.24,,,a woman is drinking from a glass,Ryan,,
19875,185-400,5555360238519252381.xml,1233.0,1234.01,,,a man in a red suit is walking down a hallway,Ryan,,
19876,185-401,5555360238519252381.xml,1234.02,1235.15,,,a woman is talking to a man and he is smiling,Ryan,,
19877,185-402,5555360238519252381.xml,1235.16,1237.05,,,a woman is sitting at a table with a man holding a wine glass,Janine,,
19878,185-403,5555360238519252381.xml,1237.06,1239.06,"No, I'd rather not. ",,a woman is talking to a man and he is smiling,Janine Ryan,Janine,
19879,185-404,5555360238519252381.xml,1239.07,1240.13,"Come on, don't be a spoilsport.  DOORBELL RINGS",,a woman is drinking wine from a glass,,,
19880,185-405,5555360238519252381.xml,1240.14,1241.1,,,a man is walking down a street and then he stops,,,
19881,185-406,5555360238519252381.xml,1241.11,1241.21,,,a woman is drinking wine from a glass,,,
19882,185-407,5555360238519252381.xml,1241.22,1243.1,"Come on, someone's got to do it. ",,a woman is sitting at a table and smiling,Janine,,
19883,185-408,5555360238519252381.xml,1243.11,1246.2,Maybe it's best if he don't. ,,a woman is sitting at a table with a man holding a wine glass,Janine,,
19884,185-409,5555360238519252381.xml,1246.21,1248.05,,,a woman is walking down a hallway and then she stops,,,
19885,185-410,5555360238519252381.xml,1248.06,1250.0,,,a woman is walking down a hallway and then stops,,,
19886,185-411,5555360238519252381.xml,1250.01,1252.18,Hiya. Merry Christmas. ,,a woman is talking to a man and he is talking to him,Janine,,
19887,185-412,5555360238519252381.xml,1252.19,1254.08,"Merry Christmas.  Is your Dad in, please?",,a woman with long hair is talking and smiling,,,
19888,185-413,5555360238519252381.xml,1254.09,1256.08,I need a word. ,,a woman with long hair is smiling and talking,Janine,,
19889,185-414,5555360238519252381.xml,1256.09,1257.07,,,a man is dancing in front of a christmas tree,Ryan,,
19890,185-415,5555360238519252381.xml,1257.08,1261.1,,,a man is walking down a hallway and then he stops and looks at another man,Stacey Ryan,,
19891,185-416,5555360238519252381.xml,1261.11,1267.1,"Hey, Merry Christmas, kids!  Come and get your presents. Ho ho ho! ",,a woman is talking to a man and he is talking to her,Stacey Ryan,,
19892,185-417,5555360238519252381.xml,1267.11,1270.01,Don't hold back(!) ,,a woman is kissing a child on the cheek,Ryan,,
19893,185-418,5555360238519252381.xml,1270.02,1270.14,,,a man is dancing with a woman in a red dress,,,
19894,185-419,5555360238519252381.xml,1270.15,1275.03,,,a man is talking to a woman and she is smiling,Ryan,,
19895,185-420,5555360238519252381.xml,1275.04,1276.06,,,a woman is kissing a man on the cheek,,,Phil
19896,185-421,5555360238519252381.xml,1276.07,1282.11,All right?  Merry Christmas.,,a man is talking to a woman and she is smiling,Ryan,,
19897,185-422,5555360238519252381.xml,1282.12,1291.18,"Look, Mum, look. I've always  wanted this! She's gorgeous. Thank you.  She's the image of Stacey  when she was a baby.",,a woman is kissing a man on the cheek,Ryan,,Roxy
19898,185-423,5555360238519252381.xml,1291.19,1298.24,"Looking at her brings it all  back. Where is Stacey? She's got a headache. Hasn't she,  hmm? She's got a headache.",,a woman is kissing a man on the cheek,Ryan,,Roxy
19899,185-424,5555360238519252381.xml,1299.0,1310.18,,,a woman is looking at a man and smiling,Stacey Ryan,,
19900,185-425,5555360238519252381.xml,1310.19,1313.07,,KNOCK AT DOOR ,a woman is dancing in a room,Ryan,,
19901,185-426,5555360238519252381.xml,1313.08,1314.11,,,a woman with long hair is smiling and talking,Stacey,,
19902,185-427,5555360238519252381.xml,1314.12,1315.14,,,a man is looking at a cat and then he turns away,,,
19903,185-428,5555360238519252381.xml,1315.15,1317.22,,,a man is looking at a woman and then she looks away,,,
19904,185-429,5555360238519252381.xml,1317.23,1318.21,Ryan.  Pack a bag. What? Pack a bag now. We're going.,,a man is walking through a door and then he stops,Ryan,Ryan,
19905,185-430,5555360238519252381.xml,1318.22,1320.16,,,a woman is smiling and waving her hand,Stacey,,
19906,185-431,5555360238519252381.xml,1320.17,1323.08,What are you talking about?  I got a couple of hundred quid. It's not much but it's a start.,,a man is walking through a door and then he stops,Ryan,Ryan,
19907,185-432,5555360238519252381.xml,1323.09,1324.1,,,a woman is looking at something and smiling,Stacey,,
19908,185-433,5555360238519252381.xml,1324.11,1325.0,"Hold on.  Where's Lily? She's not here. Well, where is she?",,a man is walking down a hallway and then stops,Ryan,Ryan,
19909,185-434,5555360238519252381.xml,1325.01,1326.16,,,a woman is looking at something and smiling,Stacey,,
19910,185-435,5555360238519252381.xml,1326.17,1329.19,"At the Vic with my mum.  Right, that's fine.",,a man is walking down a hallway and then stops,Ryan,Ryan,
19911,185-436,5555360238519252381.xml,1329.2,1330.06,,,a woman is looking at something and then looks away,,,
19912,185-437,5555360238519252381.xml,1330.07,1333.03,"Come on, let's go and get her.  Are you forgetting something?",,a man is looking at something and then looks away,Stacey Ryan,Ryan,Ryan
19913,185-438,5555360238519252381.xml,1333.04,1345.19,"Last night...  I don't care. Really? Well, then,  where you been all day? I've been trying to think things  through and get my head straight. Ryan, I lied to you.  I know, it doesn't matter. I don't care.  I don't care that you killed Archie.",,a woman is looking at something and smiling,Stacey,,
19914,185-439,5555360238519252381.xml,1345.2,1348.07,I thought I did but I don't.  He was a twisted old freak  and he deserved to die.,,a man is looking at something and smiling,Ryan,Ryan,Ryan
19915,185-440,5555360238519252381.xml,1348.08,1349.04,,,a woman is looking at something and smiling,Stacey,,
19916,185-441,5555360238519252381.xml,1349.05,1349.15,,,a woman is looking at a man and smiling,,,
19917,185-442,5555360238519252381.xml,1349.16,1350.12,,,a woman is looking at something and smiling,Stacey,,
19918,185-443,5555360238519252381.xml,1350.13,1351.16,It's not something you can  just brush under the carpet.,,a man is walking through a door and then he stops,,,
19919,185-444,5555360238519252381.xml,1351.17,1352.1,,,a woman is looking at something and smiling,Stacey,,
19920,185-445,5555360238519252381.xml,1352.11,1353.19,We need to get out  of here right now. Why?,,a man is walking down a hallway and then stops,Ryan,Ryan,
19921,185-446,5555360238519252381.xml,1353.2,1355.11,"Janine's after your blood.  And she ain't going to stop, believe me, until you're inside.",,a woman is looking at something and smiling,Stacey,,
19922,185-447,5555360238519252381.xml,1355.12,1357.01,,,a man is walking down a hallway and then stops,Ryan,Ryan,Ryan
19923,185-448,5555360238519252381.xml,1357.02,1363.19,What if I don't want to go?  What else are you going to do? I don't know. I don't know.  I don't know anything any more. ,,a woman with long hair is smiling and talking,Stacey,,
19924,185-449,5555360238519252381.xml,1363.2,1364.21,,,a man is walking down a hallway and then turns around,Ryan,Ryan,
19925,185-450,5555360238519252381.xml,1364.22,1366.14,"Stace, please. ",,a man is talking to a woman and she is smiling,Ryan,Ryan,
19926,185-451,5555360238519252381.xml,1366.15,1366.17,,,a man is looking at something and then looks away,,,
19927,185-452,5555360238519252381.xml,1366.18,1367.14,,,a man is talking to a woman and she is smiling,Ryan,Ryan,
19928,185-453,5555360238519252381.xml,1367.15,1371.22,"Look, it's going to be OK,  I promise you.",,a man is kissing a woman s hand,Ryan,Ryan,
19929,185-454,5555360238519252381.xml,1371.23,1375.11,"This is our dream, innit?  You, me and Lily. Doing what?",,a man is kissing a woman on the cheek,Stacey Ryan,,
19930,185-455,5555360238519252381.xml,1375.12,1378.03,Who cares? Being together. ,,a man is kissing a woman s hand,Ryan,Ryan,Ryan
19931,185-456,5555360238519252381.xml,1378.04,1394.02,"Look, all that matters right now...  ..is that I love you.  And you love me.  I'm not sure. It doesn't feel right.  It doesn't feel right just running away. What's right got to do with this?  That's what I want. I want it to feel right.  To do the right thing for once.",,a man and a woman are kissing each other,Stacey Ryan,,Lauren
19932,185-457,5555360238519252381.xml,1394.03,1396.1,,,a man and a woman are looking at each other and smiling,Ryan,Ryan,
19933,185-458,5555360238519252381.xml,1396.11,1403.13,"You are doing the right  thing, for us and for Lily. Now come on, get packed.  I'm going to go and get the  cash and find a car, all right?",,a woman is looking at a man and smiling,Stacey,,
19934,185-459,5555360238519252381.xml,1403.14,1408.18,So we're just going to sneak off?  Not even say goodbye?,,a man is talking to a woman and she looks surprised,Ryan,Ryan,
19935,185-460,5555360238519252381.xml,1408.19,1412.2,"All right, I'll meet  you at the Vic, then. You can say goodbye to your  mum and Charlie, we'll pick up Lily, and then we're gone, Stace.",,a woman is looking at a man and smiling,Stacey,,
19936,185-461,5555360238519252381.xml,1412.21,1415.05,,,a man is talking to a woman and she is smiling,Ryan,Ryan,Ryan
19937,185-462,5555360238519252381.xml,1415.06,1417.22,,,a woman is kissing a man s neck,Stacey,,
19938,185-463,5555360238519252381.xml,1417.23,1418.17,We're out of here. ,,a man and a woman are kissing each other,Ryan,Ryan,Ryan
19939,185-464,5555360238519252381.xml,1418.18,1421.03,,,a woman is looking at a man and smiling,Stacey Ryan,,
19940,185-465,5555360238519252381.xml,1421.04,1423.03,,,a woman with long hair is smiling and talking,Stacey,,
19941,185-466,5555360238519252381.xml,1423.04,1426.08,,,a man is walking in a room and then falls,,,
19942,185-467,5555360238519252381.xml,1426.09,1427.24,,,a man is walking down a street and then stops,,,
19943,185-468,5555360238519252381.xml,1428.0,1430.0,,,a woman is smiling and laughing while sitting in a chair,Janine,,
19944,185-469,5555360238519252381.xml,1430.01,1431.15,,,a man is walking down a street and then falls,,,
19945,185-470,5555360238519252381.xml,1431.16,1434.19,,BANGING AT DOOR ,a woman is smiling and talking to someone,Janine,Janine,
19946,185-471,5555360238519252381.xml,1434.2,1438.17,"Max, I could've come around  here with Roxy in tow, shouting the odds, but I didn't.",,a woman is talking to a man and he looks away,,,
19947,185-472,5555360238519252381.xml,1438.18,1439.18,,,a woman is talking to a man and he is smiling,,,
19948,185-473,5555360238519252381.xml,1439.19,1441.04,"Because I told her that we  were friends, that you trusted me.",,a woman is talking to a man and he is talking to him,Janine,,
19949,185-474,5555360238519252381.xml,1441.05,1441.12,,,a man is looking at a woman and then he looks away,,,
19950,185-475,5555360238519252381.xml,1441.13,1442.06,,,a man is talking to a woman and she is smiling,,,
19951,185-476,5555360238519252381.xml,1442.07,1443.06,,,a woman is talking to a man and he is smiling,,,
19952,185-477,5555360238519252381.xml,1443.07,1446.08,"That you would tell me the truth.  Yeah, and I have. So, Janine is lying, is she? ",,a woman is kissing a man on the cheek,Janine,,
19953,185-478,5555360238519252381.xml,1446.09,1447.03,"She's just making it up?  Yeah, what else?",,a woman is talking to a man and he is smiling,,,
19954,185-479,5555360238519252381.xml,1447.04,1448.21,,,a woman is kissing a man on the cheek,Janine,,
19955,185-480,5555360238519252381.xml,1448.22,1453.12,"You're lying, Max.  Ronnie, you're nine months pregnant. Why are you making accusations,  getting upset?",,a woman is talking to a man and he is smiling,Janine,,
19956,185-481,5555360238519252381.xml,1453.13,1457.15,"It's not right. It's not fair on the  baby. No, you are absolutely right.",,a woman is kissing a man on the cheek,Janine,,
19957,185-482,5555360238519252381.xml,1457.16,1459.02,Do you know what? Maybe I should  take it to the proper authorities.,,a man is looking at a woman and then she smiles,,,
19958,185-483,5555360238519252381.xml,1459.03,1459.06,,,a man wearing a hat is talking to someone,,,
19959,185-484,5555360238519252381.xml,1459.07,1459.23,,,a woman is looking at a man and then he looks away,,,
19960,185-485,5555360238519252381.xml,1459.24,1460.02,,,a woman is looking at a man and then he looks away,,,
